"","id","date","tavg"
"1","RSM00028900",1990-01-01,-66
"2","RSM00028900",1990-01-02,-47
"3","RSM00028900",1990-01-03,-91
"4","RSM00028900",1990-01-04,-192
"5","RSM00028900",1990-01-05,-218
"6","RSM00028900",1990-01-06,-139
"7","RSM00028900",1990-01-07,-100
"8","RSM00028900",1990-01-08,-214
"9","RSM00028900",1990-01-09,-128
"10","RSM00028900",1990-01-10,-34
"11","RSM00028900",1990-01-11,-23
"12","RSM00028900",1990-01-12,-34
"13","RSM00028900",1990-01-13,-259
"14","RSM00028900",1990-01-14,-251
"15","RSM00028900",1990-01-15,-233
"16","RSM00028900",1990-01-16,-211
"17","RSM00028900",1990-01-17,-173
"18","RSM00028900",1990-01-18,-117
"19","RSM00028900",1990-01-19,-36
"20","RSM00028900",1990-01-20,-38
"21","RSM00028900",1990-01-21,-45
"22","RSM00028900",1990-01-22,-71
"23","RSM00028900",1990-01-23,-73
"24","RSM00028900",1990-01-24,-57
"25","RSM00028900",1990-01-25,-65
"26","RSM00028900",1990-01-26,-11
"27","RSM00028900",1990-01-27,-12
"28","RSM00028900",1990-01-28,-20
"29","RSM00028900",1990-01-29,-56
"30","RSM00028900",1990-01-30,-120
"31","RSM00028900",1990-01-31,-139
"32","RSM00028900",1990-02-01,-152
"33","RSM00028900",1990-02-02,-97
"34","RSM00028900",1990-02-03,-64
"35","RSM00028900",1990-02-04,-71
"36","RSM00028900",1990-02-05,-60
"37","RSM00028900",1990-02-06,-28
"38","RSM00028900",1990-02-07,-18
"39","RSM00028900",1990-02-08,1
"40","RSM00028900",1990-02-09,-6
"41","RSM00028900",1990-02-10,-11
"42","RSM00028900",1990-02-11,-16
"43","RSM00028900",1990-02-12,-9
"44","RSM00028900",1990-02-13,-6
"45","RSM00028900",1990-02-14,-78
"46","RSM00028900",1990-02-15,-94
"47","RSM00028900",1990-02-16,-108
"48","RSM00028900",1990-02-17,-111
"49","RSM00028900",1990-02-18,-94
"50","RSM00028900",1990-02-19,-127
"51","RSM00028900",1990-02-20,-117
"52","RSM00028900",1990-02-21,-120
"53","RSM00028900",1990-02-22,-83
"54","RSM00028900",1990-02-23,-30
"55","RSM00028900",1990-02-24,-24
"56","RSM00028900",1990-02-25,9
"57","RSM00028900",1990-02-26,26
"58","RSM00028900",1990-02-27,23
"59","RSM00028900",1990-02-28,28
"60","RSM00028900",1990-03-01,15
"61","RSM00028900",1990-03-02,11
"62","RSM00028900",1990-03-03,11
"63","RSM00028900",1990-03-04,2
"64","RSM00028900",1990-03-05,-24
"65","RSM00028900",1990-03-06,-25
"66","RSM00028900",1990-03-07,13
"67","RSM00028900",1990-03-08,-2
"68","RSM00028900",1990-03-09,-14
"69","RSM00028900",1990-03-10,-28
"70","RSM00028900",1990-03-11,21
"71","RSM00028900",1990-03-12,-1
"72","RSM00028900",1990-03-13,13
"73","RSM00028900",1990-03-14,-8
"74","RSM00028900",1990-03-15,-67
"75","RSM00028900",1990-03-16,-47
"76","RSM00028900",1990-03-17,-4
"77","RSM00028900",1990-03-18,11
"78","RSM00028900",1990-03-19,16
"79","RSM00028900",1990-03-20,39
"80","RSM00028900",1990-03-21,61
"81","RSM00028900",1990-03-22,24
"82","RSM00028900",1990-03-23,43
"83","RSM00028900",1990-03-24,40
"84","RSM00028900",1990-03-25,20
"85","RSM00028900",1990-03-26,74
"86","RSM00028900",1990-03-27,63
"87","RSM00028900",1990-03-28,20
"88","RSM00028900",1990-03-29,10
"89","RSM00028900",1990-03-30,9
"90","RSM00028900",1990-03-31,-1
"91","RSM00028900",1990-04-01,15
"92","RSM00028900",1990-04-02,7
"93","RSM00028900",1990-04-03,32
"94","RSM00028900",1990-04-04,100
"95","RSM00028900",1990-04-05,132
"96","RSM00028900",1990-04-06,100
"97","RSM00028900",1990-04-07,48
"98","RSM00028900",1990-04-08,79
"99","RSM00028900",1990-04-09,82
"100","RSM00028900",1990-04-10,5
"101","RSM00028900",1990-04-11,77
"102","RSM00028900",1990-04-12,136
"103","RSM00028900",1990-04-13,124
"104","RSM00028900",1990-04-14,128
"105","RSM00028900",1990-04-15,119
"106","RSM00028900",1990-04-16,87
"107","RSM00028900",1990-04-17,82
"108","RSM00028900",1990-04-18,90
"109","RSM00028900",1990-04-19,95
"110","RSM00028900",1990-04-20,75
"111","RSM00028900",1990-04-21,96
"112","RSM00028900",1990-04-22,99
"113","RSM00028900",1990-04-23,98
"114","RSM00028900",1990-04-24,91
"115","RSM00028900",1990-04-25,99
"116","RSM00028900",1990-04-26,104
"117","RSM00028900",1990-04-27,108
"118","RSM00028900",1990-04-28,112
"119","RSM00028900",1990-04-29,120
"120","RSM00028900",1990-04-30,131
"121","RSM00028900",1990-05-01,142
"122","RSM00028900",1990-05-02,150
"123","RSM00028900",1990-05-03,128
"124","RSM00028900",1990-05-04,98
"125","RSM00028900",1990-05-05,85
"126","RSM00028900",1990-05-06,122
"127","RSM00028900",1990-05-07,149
"128","RSM00028900",1990-05-08,158
"129","RSM00028900",1990-05-09,70
"130","RSM00028900",1990-05-10,87
"131","RSM00028900",1990-05-11,104
"132","RSM00028900",1990-05-12,141
"133","RSM00028900",1990-05-13,81
"134","RSM00028900",1990-05-14,67
"135","RSM00028900",1990-05-15,96
"136","RSM00028900",1990-05-16,146
"137","RSM00028900",1990-05-17,163
"138","RSM00028900",1990-05-18,181
"139","RSM00028900",1990-05-19,184
"140","RSM00028900",1990-05-20,114
"141","RSM00028900",1990-05-21,82
"142","RSM00028900",1990-05-22,92
"143","RSM00028900",1990-05-23,115
"144","RSM00028900",1990-05-24,153
"145","RSM00028900",1990-05-25,173
